NEW TRANSLATIONS SINCE 1.5,,,,,,,,,,,,
PERKS,,,,,,,,,,,,
graham_name_bramball_trigger,触发荆棘球,,,,,,,,,,,,
graham_desc_bramball_trigger,"在碰撞时释放另一法术的带刺投射物，可将击中的敌人固定在原地",,,,,,,,,,,,
graham_name_golden,金色闪光,,,,,,,,,,,,
graham_desc_golden,将投射物产生的粒子效果替换为金色,,,,,,,,,,,,
graham_name_toggler_alt,右键切换器,,,,,,,,,,,,
graham_desc_toggler_alt,"当你点击右键时，切换条件法术的红色和蓝色状态",,,,,,,,,,,,
graham_name_toggler2_alt,右键切换器,,,,,,,,,,,,
graham_desc_toggler2_alt,"当你点击右键时，切换条件法术的绿色和黄色状态",,,,,,,,,,,,
graham_name_toggler3_alt,右键禁用切换器,,,,,,,,,,,,
graham_desc_toggler3_alt,"当你点击右键时，禁用所有切换条件法术，直到施放另一个切换器",,,,,,,,,,,,
graham_name_echo_bubble,回声气泡,,,,,,,,,,,,
graham_desc_echo_bubble,"一个闪亮的气泡，与施法者的位置相呼应",,,,,,,,,,,,
graham_name_passives,活性被动,,,,,,,,,,,,
graham_desc_passives,"魔杖上每有一个被动法术，该魔杖的法力恢复速度就会加快10%",,,,,,,,,,,,
graham_name_diversify,多样化,,,,,,,,,,,,
graham_desc_diversify,"如果你的魔杖上有4种或更多不同类型的法术，魔杖充能时间减少0.50",,,,,,,,,,,,
graham_name_divebomb,俯冲轰炸,,,,,,,,,,,,
graham_desc_divebomb,如果投射物下方有敌人它会迅速下落,,,,,,,,,,,,
graham_name_mixup,混合,,,,,,,,,,,,
graham_desc_mixup,"如果魔杖的投射物数量多于修正，则减少充能时间；否则，增加暴击几率",,,,,,,,,,,,
graham_name_sliceshield,分段式护盾,,,,,,,,,,,,
graham_desc_sliceshield,由八个不同部分组成的能量护盾,,,,,,,,,,,,
graham_name_intensify,增强,,,,,,,,,,,,
graham_desc_intensify,投射物的轨迹和其他效果产生的材料变为两倍,,,,,,,,,,,,
graham_name_invisible,隐形火花弹,,,,,,,,,,,,
graham_desc_invisible,完全隐形的投射物,,,,,,,,,,,,
graham_name_vibrantbulb,闪亮灯泡,,,,,,,,,,,,
graham_desc_vibrantbulb,"如果这根魔杖的法力值达到最大，则提高你的移动速度",,,,,,,,,,,,
graham_name_dimbulb,暗淡灯泡,,,,,,,,,,,,
graham_desc_dimbulb,"如果这根魔杖的法力值未达到最大，则提高你的移动速度",,,,,,,,,,,,
graham_name_orb_blue,不祥宝珠,,,,,,,,,,,,
graham_desc_orb_blue,释放一个位置固定且会随时间增长的蓝色球体,,,,,,,,,,,,
graham_name_orb_blue_timer,定时不祥宝珠,,,,,,,,,,,,
graham_desc_orb_blue_timer,在定时结束后释放另一法术的位置固定且会随时间增长的蓝色球体,,,,,,,,,,,,
graham_name_toxic_potion,有毒烧瓶,,,,,,,,,,,,
graham_desc_toxic_potion,投掷一个随附加的伤害大小而改变气体云扩散范围的烧瓶,,,,,,,,,,,,
graham_name_panicbomb,惊恐炸弹,,,,,,,,,,,,
graham_desc_panicbomb,"一个巨大的炸弹，但只有当你离开其爆炸半径时才会引爆",,,,,,,,,,,,
graham_name_toxic_crit,毒液暴击,,,,,,,,,,,,
graham_desc_toxic_crit,令投射物击中沾有绿色毒液的敌人时暴击率+100%,,,,,,,,,,,,
graham_name_cloud_hail,冰雹云,,,,,,,,,,,,
graham_desc_cloud_hail,创建一片寒冷的云并降下冰雹,,,,,,,,,,,,
graham_name_shockdart,电击飞镖,,,,,,,,,,,,
graham_desc_shockdart,线性瞄准敌人的雷电飞镖,,,,,,,,,,,,
graham_name_shielddrone,召唤护盾无人机,,,,,,,,,,,,
graham_desc_shielddrone,召唤一个会跟随你并阻挡投射物的笨拙无人机,,,,,,,,,,,,
graham_name_attackdrone,召唤攻击无人机,,,,,,,,,,,,
graham_desc_attackdrone,召唤一个会跟随你并攻击敌人的笨拙无人机,,,,,,,,,,,,
graham_name_supportdrone,召唤支援无人机,,,,,,,,,,,,
graham_desc_supportdrone,召唤一个会跟随你并帮助盟友的笨拙无人机,,,,,,,,,,,,
STATUE,,,,,,,,,,,,
graham_prayerstatue_intro0,"（互动继续）",,,,,,,,,,,,
graham_prayerstatue_intro1,"你好，旅行者...",,,,,,,,,,,,
graham_prayerstatue_intro2,"我是一个比较弱小的神。一个早已被遗忘的神。",,,,,,,,,,,,
graham_prayerstatue_intro3,"我对这个世界的影响力正在减弱。",,,,,,,,,,,,
graham_prayerstatue_intro4,"请...表现出你对我的信任。",,,,,,,,,,,,
graham_prayerstatue_intro5,"如果你给我带来一份礼物......我就能重新获得一些与这个世界的联系。",,,,,,,,,,,,
graham_prayerstatue_intro6,"你将会得到丰厚的回报。",,,,,,,,,,,,
graham_prayerstatue_intro7,"让我们开始？",,,,,,,,,,,,
graham_offering_wand,"给我一根魔杖。",,,,,,,,,,,,
graham_offering_potion_blood,"给我一瓶血。",,,,,,,,,,,,
graham_offering_potion_graham_mundanium,"给我一瓶平凡的食物。",,,,,,,,,,,,
ITEMS,,,,,,,,,,,,
graham_lukkiegg,晃动的蛋,,,,,,,,,,,,
graham_lukkiegg_desc,拿着这个奇怪的绿色蛋会让你起鸡皮疙瘩。,,,,,,,,,,,,
graham_unstainer_name,Saippuakivi,,,,,,,,,,,,doesn't need to be translated
graham_unstainer_desc,这块光滑的石头让你感觉在它的影响下变得更干净。,,,,,,,,,,,,
graham_eggbook_name,徒劳无功,,,,,,,,,,,,
graham_eggbook_desc,"A little spider has been trapped inside of this egg for some time now... I fear it may be too weak to hatch.\nI tried cracking it with my hands, and a rock, and other things...\nbut I fear the little friend inside would get shaken up too much if I did.\nI would go to the Gods for help, but... they do not seem to favour me lately.\nDear reader... if you find this book, may you ask our Gods for help?\nEven if it's just a little spider... it hurts to see it stuck like this. Don't you feel the same?\n- Robin, the scholar",,,,,,,,,,,,
graham_crystal_ball_name,水晶球,,,,,,,,,,,,
graham_crystal_ball_desc,它散发着空灵的光芒。将它扔向敌人可造成大量伤害！,,,,,,,,,,,,
graham_lovelydie_name,可爱骰子,,,,,,,,,,,,
graham_lovelydie_desc,棉花糖的味道温暖你的心。,,,,,,,,,,,,
graham_lovely_die_good,一个新朋友！,,,,,,,,,,,,
graham_lovely_die_bad,哦不！,,,,,,,,,,,,
graham_lovely_die_poof,再见！,,,,,,,,,,,,
graham_basedrone,无人机,,,,,,,,,,,,
graham_drone_desc,"它发出微弱的嗡嗡声，准备再次起飞。",,,,,,,,,,,,
graham_shielddrone,护盾无人机,,,,,,,,,,,,
graham_attackdrone,攻击无人机,,,,,,,,,,,,
graham_supportdrone,支援无人机,,,,,,,,,,,,
graham_runestone_phase,相位符石,,,,,,,,,,,,
WISDOM,,,,,,,,,,,,
graham_wisdom_start,Wisdom from beyond:\n'$0',,,,,,,,,,,,
graham_wisdom_1,"Do you have perks that rely on luck?\nLucky Clover may help you with those, too...",,,,,,,,,,,,
graham_wisdom_2,"Creepy Polymorphine can be frozen using toxic sludge.\nBe careful not to unfreeze it!",,,,,,,,,,,,
graham_wisdom_3,"How does a ghost get tipsy?\nDon't think about it too much.",,,,,,,,,,,,
graham_wisdom_4,"Remember the theme of three.\nNormal, Chaotic, Unstable.\nNormal, Giga, Omega.\nNature, Technology, Magic...\nCan you find more?",,,,,,,,,,,,
graham_wisdom_5,"Don't trust the Mini and Bloody treasure chests too much.\nChomp!",,,,,,,,,,,,
graham_wisdom_6,"Robin was a fool.",,,,,,,,,,,,
graham_wisdom_7,"Try clicking and dragging an item out of your inventory.\nIf you hit an enemy with it, it will always cause a trick kill.",,,,,,,,,,,,
graham_wisdom_8,"Propane tanks deal more damage than nukes.\nMaybe Exploding Corpses is worth taking after all.",,,,,,,,,,,,
graham_wisdom_9,"Look at what you've done.\nYou broke Mana Heart.\nI hope you're happy.",,,,,,,,,,,,
graham_wisdom_10,"If you kick at the perfect time, you can reflect melee damage.\nYou've probably done it by accident before.",,,,,,,,,,,,
graham_wisdom_11,"Life Lottery can't be affected by Lucky Clover...\nBut it can be affected by the Curse of Greed.",,,,,,,,,,,,
graham_wisdom_12,"You can use Kickstraction to steal spells from Holy Mountain wands.\nThough, the Gods may not appreciate such a display...",,,,,,,,,,,,
graham_wisdom_13,"Not everything is a hint.\nOr, at least, this isn't.",,,,,,,,,,,,
graham_wisdom_14,"Try combining Heat Wave and Freeze Field. You can pretend like you're ice skating.",,,,,,,,,,,,
graham_wisdom_15,"Unlockable perks are marked by a blue border.\nIn total, there are 8 of them.\nHow many have you unlocked?",,,,,,,,,,,,
graham_wisdom_16,"Four thousand years before\nThe Snake saw it all.",,,,,,,,,,,,
graham_wisdom_17,"In the deepest reaches of Hell...\nIn the highest peak of the Sky...\nYou can find cats.",,,,,,,,,,,,
graham_wisdom_18,"Zap Tap can block any damage type if you're close enough, not just melee.\nYou'll take some electricity damage as recoil, though!",,,,,,,,,,,,
graham_wisdom_19,"Chaotic Transmutation has some magical properties...\nTry applying it to plasma or a large sawblade.\nOr use it on Rollout.",,,,,,,,,,,,
graham_wisdom_20,"Egg in the sky\nEgg in the blood\nEgg in the lava.",,,,,,,,,,,,
graham_wisdom_21,"At 18 stacks of Fortune Teller, summoning a crystal ball costs just 1 gold!\nAt 3,340 stacks, it becomes completely free!\nPlease don't ever try this.",,,,,,,,,,,,
graham_wisdom_22,"The explosive damage dealt by a Crystal Ball is equal to 25% of your max HP!",,,,,,,,,,,,
graham_wisdom_23,"Most 'Circle of' spells cannot have their lifetime increased.\nDon't try to increase the lifetime of any Touch Of spells, either.",,,,,,,,,,,,
graham_wisdom_24,"FEED THE HUNGER\nFEED THE HUNGER\nFEED THE HUNGER\nFEED THE HUNGER\nFEED THE HUNGER",,,,,,,,,,,,
graham_wisdom_25,"If you haven't already, you should try learning some glyphs!\nFor example, the glyph resembling a small square or a diamond is E.\nTry to see if you can spot it in messages.",,,,,,,,,,,,
graham_wisdom_26,"Coffee pairs very well with Mystery Fungus.\nTry both Worm Blood + Sand and Sand + Fungus Blood + Toxic Sludge if you want to indulge!",,,,,,,,,,,,
graham_wisdom_27,"Modifiers can't be applied to the beam of plasma spells.\nYou can apply them to the emitter, however.",,,,,,,,,,,,
graham_wisdom_28,"Craving a more fancy meal?\nCombine cooked meat with diamond or honey to get a unique material!\nOr just rob a potion-throwing alchemist.",,,,,,,,,,,,
graham_wisdom_29,"It glows ethereally. Throw it at an enemy to deal heavy damage!",,,,,,,,,,,,
graham_wisdom_30,"November 11th is a very special day...\nTwo unique materials can show up in potions on that day!\nIn any run, Transmutatium has a rare chance of showing up in a normal potion!",,,,,,,,,,,,
graham_wisdom_31,"Viscous Liquid has a purely unpleasant texture that makes it feel awful to touch.\nHowever, it has a very satisfying flavour...",,,,,,,,,,,,
graham_wisdom_32,"Mundanium has many uses. Even if it tastes like oatmeal...\nIt can convert both toxic sludge and swamp into more of itself.\nOr, Flummoxium can be used with it to make Hastium.",,,,,,,,,,,,
graham_wisdom_33,"Melee Immunity will help against the Hunger...\nBut it won't be enough.",,,,,,,,,,,,
graham_wisdom_34,"Very rarely, IOU can give you another IOU!\nOr IOU can give you Gamble, which can give you IOU, which can...",,,,,,,,,,,,
graham_wisdom_35,"The kill requirements of Bloody Bonus can be lowered by collecting certain perks.\nAngry Ghost, Vampirism, More Blood, or More Hatred.\n...But is it worth it?",,,,,,,,,,,,
graham_wisdom_36,"Fill the skull's eye with water.\nFill the island's cave with blood.",,,,,,,,,,,,
graham_wisdom_37,"Plasma beams with homing applied can kill almost anything.\nBut that spoils the fun, doesn't it?",,,,,,,,,,,,
graham_wisdom_38,"There are 6 new unique wands to find throughout the world.\nHave you found them all?\nSacrifice them to the Gods for some spells!",,,,,,,,,,,,
graham_wisdom_39,"Some breadcrumbs are projectiles.\nSome breadcrumbs are not.",,,,,,,,,,,,
graham_wisdom_40,"Greed will destroy you in the end.",,,,,,,,,,,,
graham_deathquest_1,"Three runs end to carve the way;\nTurn your world completely grey.\nCrystal balls will tell you how;\nEnlightenment begins now.",,,,,,,,,,,,
graham_deathquest_2,"Careful, do not break the chain;\nKeep in mind how you are slain.\nThree steps, three eyes, all will see;\nDeath will prove yourself to me.",,,,,,,,,,,,
graham_deathquest_3,"First, a crystal-tethered ghost;\nLet it make yourself its host.\nFind it on the seventh floor;\nDie to it. Open the door.",,,,,,,,,,,,
graham_deathquest_4,"Next, a quite uncommon death;\nToxic sludge must stop your breath.\nStain yourself and let it burn;\nDie to it. Then you will learn.",,,,,,,,,,,,
graham_deathquest_5,"Third, the final boss enhanced;\nFruit is harmless at a glance.\nBring to Three-eyes' lair a gourd;\nDie to it. Claim your reward.",,,,,,,,,,,,
graham_deathquest_6,"Prove yourself on this death quest;\nSucceed and you will be blessed.\nDon't restart, but do delay;\nPatience paves your own pathway.",,,,,,,,,,,,
graham_deathcomplete_1,"你做得很好，未来的知者。",,,,,,,,,,,,
graham_deathcomplete_2,"到达这里并不是一件容易的事。你很清楚这一点。",,,,,,,,,,,,
graham_deathcomplete_3,"整个世界都是为你而存在，你可以自由地做任何你想做的事。",,,,,,,,,,,,
graham_deathcomplete_4,"但你仍然前进。 一如既往。",,,,,,,,,,,,
graham_deathcomplete_5,"整个世界都属于你。而你还不满意？",,,,,,,,,,,,
graham_deathcomplete_6,"不，你当然不满足。我也这么觉得。",,,,,,,,,,,,
graham_deathcomplete_7,"幸运的是，我还准备了另一个奖励。",,,,,,,,,,,,
graham_deathcomplete_8,"那么，领取你真正的奖励吧。",,,,,,,,,,,,
STREAMING_EVENTS,,,,,,,,,,,,
graham_streaming_name_banish,驱逐敌人,,,,,,,,,,,,
graham_streaming_desc_banish,将附近的一个随机敌人被完全移除,,,,,,,,,,,,
graham_streaming_name_minichest,召唤迷你宝箱,,,,,,,,,,,,
graham_streaming_desc_minichest,一个迷你宝箱出现了！,,,,,,,,,,,,
graham_streaming_name_bloodychest,召唤血腥宝箱,,,,,,,,,,,,
graham_streaming_desc_bloodychest,一个血腥宝箱出现了！,,,,,,,,,,,,
graham_streaming_name_lostchest,召唤失落宝箱,,,,,,,,,,,,
graham_streaming_desc_lostchest,一个失落宝箱出现了！,,,,,,,,,,,,
graham_streaming_name_drones,无人机！,,,,,,,,,,,,
graham_streaming_desc_drones,三架友好的无人机被召唤来帮助你！,,,,,,,,,,,,
graham_streaming_name_hail,冰雹,,,,,,,,,,,,
graham_streaming_desc_hail,节日快乐！,,,,,,,,,,,,
graham_streaming_name_midasmeat,超级点尸成金,,,,,,,,,,,,
graham_streaming_desc_midasmeat,附近的大部分肉都会转化为黄金,,,,,,,,,,,,
graham_streaming_name_mundane,平凡,,,,,,,,,,,,
graham_streaming_desc_mundane,附近的液体会转化为平凡的食物,,,,,,,,,,,,
graham_streaming_name_corrupt,Graham的嬗变,,,,,,,,,,,,
graham_streaming_desc_corrupt,附近的一些材料会转化为Graham's Things中的材料,,,,,,,,,,,,
graham_streaming_name_chaos,混乱传送,,,,,,,,,,,,
graham_streaming_desc_chaos,附近的每个生物都被不稳传送基质沾湿了！,,,,,,,,,,,,
graham_streaming_name_brambles,荆棘,,,,,,,,,,,,
graham_streaming_desc_brambles,带刺的荆棘墙包围着你！（小心......）,,,,,,,,,,,,
graham_streaming_name_fuzz,Hankaussähkö入侵,,,,,,,,,,,,
graham_streaming_desc_fuzz,他们从远处接近,,,,,,,,,,,,
graham_streaming_name_hazmat,Suojapukuhiisi入侵,,,,,,,,,,,,
graham_streaming_desc_hazmat,他们从远处接近,,,,,,,,,,,,
graham_streaming_name_tanks,迷你坦克,,,,,,,,,,,,
graham_streaming_desc_tanks,微型坦克被召唤来帮助你！,,,,,,,,,,,,
graham_streaming_name_balls,迷失方向,,,,,,,,,,,,
graham_streaming_desc_balls,附近的投射物变为弹力球,,,,,,,,,,,,
graham_streaming_name_manaheart,法力之心,,,,,,,,,,,,
graham_streaming_desc_manaheart,法力之心,,,,,,,,,,,,
graham_streaming_name_passivealwayscast,始终施放被动法术,,,,,,,,,,,,
graham_streaming_desc_passivealwayscast,随机被动法术作为“始终施放”添加到您的魔杖中,,,,,,,,,,,,
graham_streaming_name_tipsy,酒鬼幽灵,,,,,,,,,,,,
graham_streaming_desc_tipsy,你获得了一些酒鬼幽灵！,,,,,,,,,,,,
graham_streaming_name_confuse,困惑,,,,,,,,,,,,
graham_streaming_desc_confuse,你的屏幕看起来有点不稳定......,,,,,,,,,,,,
graham_streaming_name_cat,猫,,,,,,,,,,,,
graham_streaming_desc_cat,？？？,,,,,,,,,,,,
graham_streaming_name_wisdom,水晶球,,,,,,,,,,,,
graham_streaming_desc_wisdom,阅读它们以获得智慧,,,,,,,,,,,,
graham_streaming_name_translocation,个人易位,,,,,,,,,,,,
graham_streaming_desc_translocation,类似于相位弧，但更酷,,,,,,,,,,,,
graham_streaming_name_guardian,守护天使,,,,,,,,,,,,
graham_streaming_desc_guardian,你是多么善良的灵魂啊！,,,,,,,,,,,,
OTHER,,,,,,,,,,,,
animal_graham_miner_gasser,"Suojapukuhiisi",,,,,,,,,,,,doesn't need to be translated
animal_graham_gasser_hell,"Hornasuojapukuhiisi",,,,,,,,,,,,doesn't need to be translated
animal_graham_wizard_familiar,"Viisaudenmestari",,,,,,,,,,,,doesn't need to be translated
animal_graham_fuzz,"Hankaussähkö",,,,,,,,,,,,doesn't need to be translated
graham_bookbook_name,"Book",,,,,,,,,,,,
graham_chest_tech,科技宝箱,,,,,,,,,,,,
material_graham_yum,饱腹感,,,,,,,,,,,,
graham_lucky_chance,"太幸运了！($0%)",,,,,,,,,,,,
graham_mat_purplebrick,星空砌砖,,,,,,,,,,,,
graham_mat_meat_healthy,柔软的肉,,,,,,,,,,,,
graham_fortuneteller,"按互动键花费$0黄金召唤一个水晶球",,,,,,,,,,,,
graham_fortuneteller_log,"召唤了一个水晶球！",,,,,,,,,,,,
graham_fortuneteller_cant,"黄金不足！",,,,,,,,,,,,
graham_settings_check,"检查Graham's Things的mod设置菜单 - 添加了新选项！",,,,,,,,,,,,
graham_perk_unlock_lukki,你觉得蜘蛛不再那么可怕了......,,,,,,,,,,,,
graham_perk_unlock_wandslots,"不知为何，当你的旅程结束后，你感到一种渴望。",,,,,,,,,,,,
graham_magicskin,"你的最大生命值减少了$0",,,,,,,,,,,,
graham_minitank_name,Pikku-tankki,,,,,,,,,,,,doesn't need to be translated
graham_lukkimount_name,Hämähäkkiratsu,,,,,,,,,,,,doesn't need to be translated
graham_status_foam,泡沫防护,,,,,,,,,,,,
graham_statusdesc_foam,"你对火焰和绿毒免疫，并获得临时的生命值。",,,,,,,,,,,,
graham_enable_redblue,启用红色/蓝色切换器,,,,,,,,,,,,
graham_enable_greenyellow,启用绿色/黄色切换器,,,,,,,,,,,,
graham_toggle_red,切换为红色,,,,,,,,,,,,
graham_toggle_blue,切换为蓝色,,,,,,,,,,,,
graham_toggle_green,切换为绿色,,,,,,,,,,,,
graham_toggle_yellow,切换为黄色,,,,,,,,,,,,
graham_toggle_disable,禁用所有切换器,,,,,,,,,,,,
graham_killsleft,"剩余$0个击杀",,,,,,,,,,,,
graham_1killleft,"剩余一个击杀",,,,,,,,,,,,
graham_lukki_mount,"按互动键乘坐路奇坐骑",,,,,,,,,,,,
graham_lukki_dismount,"按互动键脱离路奇坐骑",,,,,,,,,,,,
graham_status_starving,饥饿,,,,,,,,,,,,
graham_statusdesc_starving,你正在从内部被吃掉。,,,,,,,,,,,,
graham_bigbook,"Heya, Graham here! Just wanted to let you know:\nGraham's Things relies on some modding functions that currently only exist in the beta branch of Noita.\nSome stuff (namely, Creepy Polymorphine) won't function properly without these functions.\nIf you're on the Steam version, switching over to the beta branch of Noita would probably make your experience better.\nIf not, that's fine too. You can have fun with this big book instead.\nOnce Noita updates so that these functions are on the main branch, this book will go away forever.\nHow sad...",,,,,,,,,,,,
graham_status_clean,非常干净,,,,,,,,,,,,
graham_statusdesc_clean,"一段时间内，你完全不会被沾湿。",,,,,,,,,,,,
graham_guardianangel_death,殉道者,,,,,,,,,,,,
DUMMY_LINE,,,,,,,,,,,,,
