NEW TRANSLATIONS SINCE 1.5,,,,,,,,,,,,
PERKS,,,,,,,,,,,,
graham_name_golden,金色闪光,,,,,,,,,,,,
graham_desc_golden,将投射物产生的粒子效果替换为金色,,,,,,,,,,,,
graham_name_toggler_alt,右键切换器,,,,,,,,,,,,
graham_desc_toggler_alt,"当你点击右键时，切换条件法术的红色和蓝色状态",,,,,,,,,,,,
graham_name_toggler2_alt,右键切换器,,,,,,,,,,,,
graham_desc_toggler2_alt,"当你点击右键时，切换条件法术的绿色和黄色状态",,,,,,,,,,,,
graham_name_toggler3_alt,右键禁用切换器,,,,,,,,,,,,
graham_desc_toggler3_alt,"当你点击右键时，禁用所有切换条件法术，直到施放另一个切换器",,,,,,,,,,,,
graham_name_echo_bubble,回声气泡,,,,,,,,,,,,
graham_desc_echo_bubble,"一个闪亮的气泡，与施法者的位置相呼应",,,,,,,,,,,,
graham_name_passives,活性被动,,,,,,,,,,,,
graham_desc_passives,"魔杖上每有一个被动法术，该魔杖的法力恢复速度就会加快10%",,,,,,,,,,,,
graham_name_diversify,多样化,,,,,,,,,,,,
graham_desc_diversify,"如果你的魔杖上有4种或更多不同类型的法术，魔杖充能时间减少0.50",,,,,,,,,,,,
graham_name_divebomb,俯冲轰炸,,,,,,,,,,,,
graham_desc_divebomb,如果投射物下方有敌人它会迅速下落,,,,,,,,,,,,
graham_name_mixup,混合,,,,,,,,,,,,
graham_desc_mixup,"如果魔杖的投射物数量多于修正，则减少充能时间；否则，增加暴击几率",,,,,,,,,,,,
graham_name_sliceshield,分段式护盾,,,,,,,,,,,,
graham_desc_sliceshield,由八个不同部分组成的能量护盾,,,,,,,,,,,,
graham_name_intensify,增强,,,,,,,,,,,,
graham_desc_intensify,投射物的轨迹和其他效果产生的材料变为两倍,,,,,,,,,,,,
graham_name_invisible,隐形火花弹,,,,,,,,,,,,
graham_desc_invisible,完全隐形的投射物,,,,,,,,,,,,
graham_name_vibrantbulb,闪亮灯泡,,,,,,,,,,,,
graham_desc_vibrantbulb,"如果这根魔杖的法力值达到最大，则提高你的移动速度",,,,,,,,,,,,
graham_name_dimbulb,暗淡灯泡,,,,,,,,,,,,
graham_desc_dimbulb,"如果这根魔杖的法力值未达到最大，则提高你的移动速度",,,,,,,,,,,,
graham_name_orb_blue,不祥宝珠,,,,,,,,,,,,
graham_desc_orb_blue,释放一个位置固定且会随时间增长的蓝色球体,,,,,,,,,,,,
graham_name_orb_blue_timer,定时不祥宝珠,,,,,,,,,,,,
graham_desc_orb_blue_timer,在定时结束后释放另一法术的位置固定且会随时间增长的蓝色球体,,,,,,,,,,,,
graham_name_toxic_potion,有毒烧瓶,,,,,,,,,,,,
graham_desc_toxic_potion,投掷一个随附加的伤害大小而改变气体云扩散范围的烧瓶,,,,,,,,,,,,
graham_name_panicbomb,惊恐炸弹,,,,,,,,,,,,
graham_desc_panicbomb,"一个巨大的炸弹，但只有当你离开其爆炸半径时才会引爆",,,,,,,,,,,,
graham_name_toxic_crit,毒液暴击,,,,,,,,,,,,
graham_desc_toxic_crit,令投射物击中沾有绿色毒液的敌人时暴击率+100%,,,,,,,,,,,,
graham_name_cloud_hail,冰雹云,,,,,,,,,,,,
graham_desc_cloud_hail,创建一片寒冷的云并降下冰雹,,,,,,,,,,,,
graham_name_shockdart,电击飞镖,,,,,,,,,,,,
graham_desc_shockdart,线性瞄准敌人的雷电飞镖,,,,,,,,,,,,
graham_name_shielddrone,召唤护盾无人机,,,,,,,,,,,,
graham_desc_shielddrone,召唤一个会跟随你并阻挡投射物的笨拙无人机,,,,,,,,,,,,
graham_name_attackdrone,召唤攻击无人机,,,,,,,,,,,,
graham_desc_attackdrone,召唤一个会跟随你并攻击敌人的笨拙无人机,,,,,,,,,,,,
graham_name_supportdrone,召唤支援无人机,,,,,,,,,,,,
graham_desc_supportdrone,召唤一个会跟随你并帮助盟友的笨拙无人机,,,,,,,,,,,,
STATUE,,,,,,,,,,,,
graham_prayerstatue_intro0,"（互动继续）",,,,,,,,,,,,
graham_prayerstatue_intro1,"你好，旅行者...",,,,,,,,,,,,
graham_prayerstatue_intro2,"我是一个比较弱小的神。一个早已被遗忘的神。",,,,,,,,,,,,
graham_prayerstatue_intro3,"我对这个世界的影响力正在减弱。",,,,,,,,,,,,
graham_prayerstatue_intro4,"请...表现出你对我的信任。",,,,,,,,,,,,
graham_prayerstatue_intro5,"如果你给我带来一份礼物......我就能重新获得一些与这个世界的联系。",,,,,,,,,,,,
graham_prayerstatue_intro6,"你将会得到丰厚的回报。",,,,,,,,,,,,
graham_prayerstatue_intro7,"让我们开始？",,,,,,,,,,,,
graham_offering_wand,"给我一根魔杖。",,,,,,,,,,,,
graham_offering_potion_blood,"给我一瓶血。",,,,,,,,,,,,
graham_offering_potion_graham_mundanium,"给我一瓶平凡的食物。",,,,,,,,,,,,
ITEMS,,,,,,,,,,,,
graham_lukkiegg,晃动的蛋,,,,,,,,,,,,
graham_lukkiegg_desc,拿着这个奇怪的绿色蛋会让你起鸡皮疙瘩。,,,,,,,,,,,,
graham_unstainer_name,Saippuakivi,,,,,,,,,,,,doesn't need to be translated
graham_unstainer_desc,这块光滑的石头让你感觉在它的影响下变得更干净。,,,,,,,,,,,,
graham_eggbook_name,徒劳无功,,,,,,,,,,,,
graham_eggbook_desc,"这只小蜘蛛已经被困在这个蛋里有一段时间了......我担心它可能太弱而无法孵化。        \n我想尝试用手、石头和其他东西来敲碎它......\n但我担心如果我这样做的话，里面的小家伙会受到伤害。\n我向诸神求助，但是......祂们最近似乎不青睐我。\n亲爱的读者......如果你找到这本书，你可以向我们的神明求助吗？\n即使它只是一只小蜘蛛......看到它被困成这样也很痛苦。你也有同样的感觉吗？\n- 学者罗宾",,,,,,,,,,,,
graham_crystal_ball_name,水晶球,,,,,,,,,,,,
graham_crystal_ball_desc,它散发着空灵的光芒。将它扔向敌人可造成大量伤害！,,,,,,,,,,,,
graham_lovelydie_name,可爱骰子,,,,,,,,,,,,
graham_lovelydie_desc,棉花糖的味道温暖你的心。,,,,,,,,,,,,
graham_lovely_die_good,一个新朋友！,,,,,,,,,,,,
graham_lovely_die_bad,哦不！,,,,,,,,,,,,
graham_lovely_die_poof,再见！,,,,,,,,,,,,
graham_basedrone,无人机,,,,,,,,,,,,
graham_drone_desc,"它发出微弱的嗡嗡声，准备再次起飞。",,,,,,,,,,,,
graham_shielddrone,护盾无人机,,,,,,,,,,,,
graham_attackdrone,攻击无人机,,,,,,,,,,,,
graham_supportdrone,支援无人机,,,,,,,,,,,,
graham_runestone_phase,相位符石,,,,,,,,,,,,
WISDOM,,,,,,,,,,,,
graham_wisdom_start,来自彼岸的智慧：\n'$0',,,,,,,,,,,,
graham_wisdom_1,"你想拥有靠运气获得的天赋吗？                  \n幸运四叶草也许可以帮助你解决这个问题......",,,,,,,,,,,,
graham_wisdom_2,"恐怖变形气体可以使用绿色毒液进行冷冻。          \n要小心不要解冻它！",,,,,,,,,,,,
graham_wisdom_3,"鬼是怎么喝醉的？\n别想太多。",,,,,,,,,,,,
graham_wisdom_4,"一些包含三个内容的主题。\n正常、混乱、不稳定。\n普通、大型、巨型\n自然、科技、魔法......\n你能找到更多吗？",,,,,,,,,,,,
graham_wisdom_5,"不要太相信迷你和血腥宝箱。      \n咀嚼！",,,,,,,,,,,,
graham_wisdom_6,"罗宾是个傻瓜。",,,,,,,,,,,,
graham_wisdom_7,"试试单击某个物品并将其拖出仓库。\n如果你用它击中敌人，这会成为技巧击杀。",,,,,,,,,,,,
graham_wisdom_8,"丙烷罐造成的伤害比核弹还大。\n也许爆尸天赋还是值得拿一下的。",,,,,,,,,,,,
graham_wisdom_9,"看看你做了什么。\n你打碎了法力之心。\n我希望你感到高兴。",,,,,,,,,,,,
graham_wisdom_10,"如果你在完美的时间踢击，\n你就可以反弹近战伤害。\n你以前可能无意中这样做过。",,,,,,,,,,,,
graham_wisdom_11,"生命博彩不会受到幸运四叶草的影响......          \n但它可能会受到贪婪诅咒的影响。",,,,,,,,,,,,
graham_wisdom_12,"你可以使用踢取法术天赋来窃取圣山魔杖中的法术。            \n不过，神明可能不会欣赏这样的做法......",,,,,,,,,,,,
graham_wisdom_13,"并非所有都是暗示。\n至少，这条不是。",,,,,,,,,,,,
graham_wisdom_14,"尝试将热浪和冰冻领域天赋组合起来。          \n你可以假装自己在滑冰。",,,,,,,,,,,,
graham_wisdom_15,"可解锁的天赋用蓝色边框标记。      \n总共有8个。\n你解锁了多少个？",,,,,,,,,,,,
graham_wisdom_16,"四千年前\n蛇看到了这一切。",,,,,,,,,,,,
graham_wisdom_17,"在地狱的最深处......\n在天空的最高处......\n你可以找到猫咪。",,,,,,,,,,,,
graham_wisdom_18,"如果距离足够近，静电天赋可以阻挡任何类型的伤害，            \n而不仅仅是近战伤害。\n不过，你会因为副作用而受到一些电击伤害！",,,,,,,,,,,,
graham_wisdom_19,"混沌转化有一些神奇的特性......\n尝试将其应用于电浆或大型锯片。      \n或者在翻滚法术上使用它。",,,,,,,,,,,,
graham_wisdom_20,"天空中有蛋\n血液中有蛋\n熔岩中有蛋。",,,,,,,,,,,,
graham_wisdom_21,"拥有18层占卜师天赋时，召唤水晶球仅需1黄金！    \n堆叠数达到3340层时，它变得完全免费！\n不要去尝试它。",,,,,,,,,,,,
graham_wisdom_22,"水晶球造成的爆炸伤害相当于你最大生命值的25%！        ",,,,,,,,,,,,
graham_wisdom_23,"大多数“XX之环”法术的存在时间无法增加。\n也不要试图增加任何“XX之触”法术的存在时间。    ",,,,,,,,,,,,
graham_wisdom_24,"喂养饥饿！\n喂养饥饿！\n喂养饥饿！\n去喂养饥饿！\n你为什么还不去喂养饥饿！",,,,,,,,,,,,
graham_wisdom_25,"如果你还没有了解过，你应该尝试学习一些字符！        \n例如，类似小正方形或菱形的字符代表的是E。\n尝试看看是否可以在世界中发现它。",,,,,,,,,,,,
graham_wisdom_26,"咖啡与神秘真菌非常搭配。\n如果你想尽情享受，请尝试蠕虫血+沙子或沙子+真菌血液+毒性淤泥！",,,,,,,,,,,,
graham_wisdom_27,"修正法术不能应用于发射出的电浆束。\n但是，你可以将它们应用到电浆束的发射点上。\n是的，电浆法术其实是由两部分组成，电浆束和发射电浆的投射物。",,,,,,,,,,,,
graham_wisdom_28,"想吃更美味的饭菜吗？\n将全熟的肉与钻石或蜂蜜混合以获得独特的材料！          \n或者干脆抢劫一个投掷药水的席西炼金术士。",,,,,,,,,,,,
graham_wisdom_29,"它散发着空灵的光芒。            \n将其扔向敌人可以造成大量伤害！",,,,,,,,,,,,
graham_wisdom_30,"11月11日是一个非常特别的日子......\n那天，两种独特的材料会出现在药水中！\n在任何一局游戏中，嬗变元素都有罕见的机会出现在普通药水中！!",,,,,,,,,,,,
graham_wisdom_31,"腐化神佑魔药的质地非常令人不快，\n摸起来感觉很糟糕。不过，它的味道却非常令人满意......",,,,,,,,,,,,
graham_wisdom_32,"平凡的食物有多种用途。虽然味道像燕麦片......          \n它可以将毒性淤泥和沼泽转化为更多的物质。\n或者，它可以与混乱魔药混合制造出迅捷魔药。",,,,,,,,,,,,
graham_wisdom_33,"近战免疫将有助于对抗饥饿的同化......        \n但这还不够。",,,,,,,,,,,,
graham_wisdom_34,"在极其罕见的概率下欠条天赋可以给你另一个欠条！\n或者欠条可以给你赌博天赋，赌博可以给你欠条，欠条可以......",,,,,,,,,,,,
graham_wisdom_35,"通过收集某些额外天赋可以降低血腥奖励的击杀要求。                  \n愤怒的幽灵、吸血术、更多的血，或者更多仇恨。\n......但是这值得吗？",,,,,,,,,,,,
graham_wisdom_36,"将头骨的眼睛注满水。\n将岛上的洞穴填满鲜血。",,,,,,,,,,,,
graham_wisdom_37,"应用追踪的电浆束几乎可以杀死任何东西。          \n但这破坏了乐趣，不是吗？",,,,,,,,,,,,
graham_wisdom_38,"世界各地有6根新的独特魔杖可供寻找。          \n你都找到了吗？\n将它们献祭给众神以获得一些法术！",,,,,,,,,,,,
graham_wisdom_39,"一些面包屑是投射物。\n另一些则不是。",,,,,,,,,,,,
graham_wisdom_40,"贪婪最终会毁灭你。",,,,,,,,,,,,
graham_deathquest_1,"Three runs end to carve the way;\nTurn your world completely grey.\nCrystal balls will tell you how;\nEnlightenment begins now.",,,,,,,,,,,,
graham_deathquest_2,"Careful, do not break the chain;\nKeep in mind how you are slain.\nThree steps, three eyes, all will see;\nDeath will prove yourself to me.",,,,,,,,,,,,
graham_deathquest_3,"First, a crystal-tethered ghost;\nLet it make yourself its host.\nFind it on the seventh floor;\nDie to it. Open the door.",,,,,,,,,,,,
graham_deathquest_4,"Next, a quite uncommon death;\nToxic sludge must stop your breath.\nStain yourself and let it burn;\nDie to it. Then you will learn.",,,,,,,,,,,,
graham_deathquest_5,"Third, the final boss enhanced;\nFruit is harmless at a glance.\nBring to Three-eyes' lair a gourd;\nDie to it. Claim your reward.",,,,,,,,,,,,
graham_deathquest_6,"Prove yourself on this death quest;\nSucceed and you will be blessed.\nDon't restart, but do delay;\nPatience paves your own pathway.",,,,,,,,,,,,
graham_deathcomplete_1,"You have done well, Knower to Be.",,,,,,,,,,,,
graham_deathcomplete_2,"Getting here was not an easy task. You know that well.",,,,,,,,,,,,
graham_deathcomplete_3,"This world is all for you; you're free to do anything you want.",,,,,,,,,,,,
graham_deathcomplete_4,"And yet you advance. As you always do.",,,,,,,,,,,,
graham_deathcomplete_5,"A whole world to yourself. And you're not satisfied?",,,,,,,,,,,,
graham_deathcomplete_6,"No, of course you're not. I expected as much.",,,,,,,,,,,,
graham_deathcomplete_7,"Fortunately, I have another reward prepared.",,,,,,,,,,,,
graham_deathcomplete_8,"Claim your real reward, then.",,,,,,,,,,,,
OTHER,,,,,,,,,,,,
animal_graham_miner_gasser,"Suojapukuhiisi",,,,,,,,,,,,doesn't need to be translated
animal_graham_gasser_hell,"Hornasuojapukuhiisi",,,,,,,,,,,,doesn't need to be translated
animal_graham_wizard_familiar,"Viisaudenmestari",,,,,,,,,,,,doesn't need to be translated
animal_graham_fuzz,"Hankaussähkö",,,,,,,,,,,,doesn't need to be translated
graham_bookbook_name,"书",,,,,,,,,,,,
graham_chest_tech,科技宝箱,,,,,,,,,,,,
material_graham_yum,饱腹感,,,,,,,,,,,,
graham_lucky_chance,"太幸运了！($0%)",,,,,,,,,,,,
graham_mat_purplebrick,星空砌砖,,,,,,,,,,,,
graham_mat_meat_healthy,柔软的肉,,,,,,,,,,,,
graham_fortuneteller,"按互动键花费$0黄金召唤一个水晶球",,,,,,,,,,,,
graham_fortuneteller_log,"召唤了一个水晶球！",,,,,,,,,,,,
graham_fortuneteller_cant,"黄金不足！",,,,,,,,,,,,
graham_settings_check,"检查Graham's Things的mod设置菜单 - 添加了新选项！",,,,,,,,,,,,
graham_perk_unlock_lukki,你觉得蜘蛛不再那么可怕了......,,,,,,,,,,,,
graham_perk_unlock_wandslots,"不知为何，当你的旅程结束后，你感到一种渴望。",,,,,,,,,,,,
graham_magicskin,"你的最大生命值减少了$0",,,,,,,,,,,,
graham_minitank_name,Pikku-tankki,,,,,,,,,,,,doesn't need to be translated
graham_lukkimount_name,Hämähäkkiratsu,,,,,,,,,,,,doesn't need to be translated
graham_status_foam,泡沫防护,,,,,,,,,,,,
graham_statusdesc_foam,"你对火焰和绿毒免疫，并获得临时的生命值。",,,,,,,,,,,,
graham_enable_redblue,启用红色/蓝色切换器,,,,,,,,,,,,
graham_enable_greenyellow,启用绿色/黄色切换器,,,,,,,,,,,,
graham_toggle_red,切换为红色,,,,,,,,,,,,
graham_toggle_blue,切换为蓝色,,,,,,,,,,,,
graham_toggle_green,切换为绿色,,,,,,,,,,,,
graham_toggle_yellow,切换为黄色,,,,,,,,,,,,
graham_toggle_disable,禁用所有切换器,,,,,,,,,,,,
graham_killsleft,"剩余$0个击杀",,,,,,,,,,,,
graham_1killleft,"剩余一个击杀",,,,,,,,,,,,
graham_lukki_mount,"按互动键乘坐路奇坐骑",,,,,,,,,,,,
graham_lukki_dismount,"按互动键脱离路奇坐骑",,,,,,,,,,,,
graham_status_starving,饥饿,,,,,,,,,,,,
graham_statusdesc_starving,你正在从内部被吃掉。,,,,,,,,,,,,
graham_bigbook,"嘿，这里是Graham！ 只是想告诉您：\nGraham's Things依赖于一些目前仅存在于Noita测试版分支中的修改功能。\n如果没有这些功能，有些东西（例如恐怖变形气体）将无法正常工作。\n如果您使用的是Steam版本，切换到Noita的beta分支可能会让您的体验更好。                     \n如果没有，那也没关系。你可以从这本巨大的书里得到乐趣。\n一旦Noita更新使这些功能添加到正式版本，这本书将永远消失。\n多么悲伤......",,,,,,,,,,,,
graham_status_clean,非常干净,,,,,,,,,,,,
graham_statusdesc_clean,"一段时间内，你完全不会被沾湿。",,,,,,,,,,,,
graham_guardianangel_death,殉道者,,,,,,,,,,,,
DUMMY_LINE,,,,,,,,,,,,,
